Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
7121048,ANTI GLOMERULAR BASAL ABS.,435.75,456.50000000000006,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121049,ANTI HAV IGG,126,132,Gross,yes,31.0,Portal Laboratory,73100-24-10,"Hepatitis a antibody, igm only (Anti-Hav,igm),"
7121050,ANTI JO-1,359.1,376.20000000000005,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121051,ANTI RO/ ANTI LA,750.75,786.5000000000001,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121052,ANTI SCACCHAROMYCES CEREVISIAE MANNAN ANTIBODIES,735,770.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-41-60,Definitive identification yeast fungi organism in culture
7121053,ANTI SCL 70 ABS,294,308,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121054,ANTI SPERM ANTIBODY,1155,1210,Gross,yes,31.0,Portal Laboratory,73400-03-80,Sperm antibody measurement
7121055,ANTI STREPTO KINASE,183.75,192.50000000000003,Gross,yes,31.0,Portal Laboratory,73100-18-60,Detection of antibody; Streptokinase
7121056,ANTI STREPTOCOCCAL HYALURONIDASE,152.25,159.5,Gross,yes,31.0,Portal Laboratory,73050-50-00,Infectious agent antigen detection of Shiga-like toxin multiple-step method (ImmunoAssay technique)
7121057,ANTI TUBULAR BASAL ABS.,435.75,456.50000000000006,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121058,ANTI-HAV IGM,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-24-10,"Hepatitis a antibody, igm only (Anti-Hav,igm),"
7121059,ANTI-HBC,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-23-60,Hepatitis b core antibody
7121060,ANTI-HBC IGM,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-23-70,Hepatitis b core antibodies igm hbc igm
7121061,ANTI-HBS QUANTITATIVE WITH TITRE,262.5,275,Gross,yes,31.0,Portal Laboratory,73100-23-60,Hepatitis b core antibody
7121062,ANTI-HBS SCREENING,262.5,275,Gross,yes,31.0,Portal Laboratory,73100-23-60,Hepatitis b core antibody
7121063,ANTIMULLERIAN HORMONE,661.5,693,Gross,yes,31.0,Portal Laboratory,73050-07-50,Measurement of Anti mullerian Hormone test
7121064,ANTITHROMBIN III,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-03-90,Antithrombin iii antigen (clotting inhibitor) activity
7121065,APOLIPOPROTEIN A1,126,132,Gross,yes,31.0,Portal Laboratory,73050-03-60,"Measurement of (Quantitative) apolipoProtein, each"
7121066,APOLIPOPROTEIN B,126,132,Gross,yes,31.0,Portal Laboratory,73050-03-60,"Measurement of (Quantitative) apolipoProtein, each"
7121067,AQUAPORIN  - 4 (CSF),630,660,Gross,yes,31.0,Portal Laboratory,73400-00-70,"Misc body fluids , cell count  w/differential count"
7121068,AQUAPORIN QUALITATIVE,630,660,Gross,yes,31.0,Portal Laboratory,73200-09-90,Western blot Protein immunological probe  with interpretation and report
7121069,AQUAPORIN QUANTITATIVE,630,660,Gross,yes,31.0,Portal Laboratory,73200-09-90,Western blot Protein immunological probe  with interpretation and report
7121070,ARSENIC,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-03-70,Measurement of (Quantitative) arsenic
7121071,ARTERIAL BLOOD GASES,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-14-50,Arterial blood gas
7121072,ARYLSULPHATASE A,325.5,341,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121073,ASPERGILLUS ANTIGEN,504,528,Gross,yes,31.0,Portal Laboratory,73050-47-70,Infectious agent antigen detection of Aspergillus by multiple-step method (immunoAssay technique)
7121074,ASPERGILLUS IGG & IGM,714,748.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-47-70,Infectious agent antigen detection of Aspergillus by multiple-step method (immunoAssay technique)
7121075,ASPERGILLUS IGG ABS,462,484.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-47-70,Infectious agent antigen detection of Aspergillus by multiple-step method (immunoAssay technique)
7121076,ATOPY PANEL 20,997.5,1045,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121077,AVIAN PRECIPITANT ABS (SP ABS IGG) - SINGLE EACH,294,308,Gross,yes,31.0,Portal Laboratory,73100-24-20,Influenza virus antibody
7121078,AVIAN PRECIPITANT ABS (SPECIFIC ABS TYPE IGG),6090,6380.000000000001,Gross,yes,31.0,Portal Laboratory,73100-24-20,Influenza virus antibody
7121079,AZATHIOPRINE AS-6 MERCAPTOPURINE,388.5,407.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121080,AZF FACTOR (Y CHROMOSOMAL DELETIONS),4032,4224,Gross,yes,31.0,Portal Laboratory,73350-04-40,Level 1 molecular pathology procedure
7121081,BARBITURATES,262.5,275,Gross,yes,31.0,Portal Laboratory,73300-06-60,Drug Quantitative/Qualitative or both screening (Barbiturates)
7121082,BENZODIAZEPINES,262.5,275,Gross,yes,31.0,Portal Laboratory,73300-06-70,Drug Quantitative/Qualitative or both screening (Benzodiazepines; 1-12)
7121083,BENZODIAZEPINES CONFIRMATORY TEST,315,330,Gross,yes,31.0,Portal Laboratory,73300-06-70,Drug Quantitative/Qualitative or both screening (Benzodiazepines; 1-12)
7121084,BETA GLUCOSIDASE,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-16-30,Measurement of (Quantitative) glucosidase beta
7121085,BETA HCG,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-50,Measurement of free beta chain chorionic gonadotropin (HCG)
7121086,BETA HYDROXY BUTYRATE,325.5,341,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121087,BETA-2 GLYCOPROTEIN ABS,383.25,401.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-11-60,Anti beta 2 glycoProtein abs (IgG)
7121088,BETA-2 MICROGLOBULIN,283.5,297,Gross,yes,31.0,Portal Laboratory,73050-04-00,Measurement of Beta 2 microglobulin Quantitative test; serum
7121089,BETA-2 TRANSFERRIN,614.25,643.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121090,BILE ACIDS TOTAL,241.5,253.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-04-10,Measurement of Bile Acid total Assay
7121091,BILIRUBIN IN AMNOIC FLUID,126,132,Gross,yes,31.0,Portal Laboratory,73050-04-30,Measurement of Total bilirubin
7121092,BIOTIN (VITAMIN H),388.5,407.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-38-70,Measurement of other vitamin (not specified)
7121093,BIOTINIDASE QUANT,588,616,Gross,yes,31.0,Portal Laboratory,73050-04-60,Measurement of (Quantitative) biotinidase each specimen
7121094,BODY FLUID  ROUTINE CULTURE,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73200-00-00,"Cytopathology, fluids, washgs or brushings excrpt cervical or vaginal: smrs interp"
7121095,BODY FLUID +  ROUTINE CULTURE,498.75,522.5,Gross,yes,31.0,Portal Laboratory,73200-00-00,"Cytopathology, fluids, washgs or brushings excrpt cervical or vaginal: smrs interp"
7121096,BODY FLUID + A.F.B. CULTURE,393.75,412.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-41-90,Isolation tubercle and other afb; any source
7121097,BODY FLUID + CYTOLOGY,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73200-00-00,"Cytopathology, fluids, washgs or brushings excrpt cervical or vaginal: smrs interp"
7121098,BODY FLUID + ROUTINE CULTURE + A.F.B. CULTURE,525,550,Gross,yes,31.0,Portal Laboratory,73050-41-90,Isolation tubercle and other afb; any source
7121099,BONE MARROW SPECIAL STAIN  EACH,178.5,187.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-01-90,"Bone marrow, smear interpretation"
7121100,BORDETELLA PERTUSSIS (WHOPPING COUGH),567,594,Gross,yes,31.0,Portal Laboratory,73050-45-60,Infectious Antigen detection by immunofluorescent technique; Bordetella pertussis/parapertussis
7121101,BORRELIA ABS IGG & IGM WESTERNBLOT,682.5,715.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-31-10,"Measurement of (Quantitative) Protein; western blot, with interpretation and report, blood or other body fluid"
7121102,BORRELIA IGG & IGM,661.5,693,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121103,BRAIN NATRIURETIC PEPTIDE,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-25-30,Measurement of Brain natriuretic peptide (BNP)
7121104,BRCA I & II (BREAST CANCER I & II),23625,24750.000000000004,Gross,yes,31.0,Portal Laboratory,73350-00-50,Breast cancer1 & breast cancer2 (breast / ovarian neoplasm) full sequence analysis; commen duplication/deletion breast cancer
7121105,BRCA I (BREAST CANCER),12075,12650.000000000002,Gross,yes,31.0,Portal Laboratory,73350-00-80,"Breast cancer1 full sequence analysis; common duplication/deletion  variants( eg, hereditary breast and ovarian cancer)"
7121106,BRCA II (BREAST CANCER II),14700,15400.000000000002,Gross,yes,31.0,Portal Laboratory,73350-01-00,Breast cancer2  and Ovarian  cancer of hereditory  gene analysis; full sequence analysis
7121107,BRUCELLA PCR (CSF  EDTA-BLOOD  TISSUE OR URINE),2625,2750,Gross,yes,31.0,Portal Laboratory,73100-19-90,Brucella total antibody confirmation agglutination serum
7121108,BUN,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-37-30,Measurement of blood urea nitrogen (BUN)
7121109,C-1 ESTERASE INHIBITOR,435.75,456.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-08-20,Measurement of C1 esterase inhibitor protien -{Q} Profile
7121110,C1G COMPLEMENT,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-12-50,"Complement; functional activity, each component"
7121111,C1Q COMPLEMENT COMPONENT,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-12-50,"Complement; functional activity, each component"
7121112,C2 COMPLEMENT COMPONENT,325.5,341,Gross,yes,31.0,Portal Laboratory,73100-12-40,C4Complement component
7121113,C3 COMPLEMENT,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-12-50,"Complement; functional activity, each component"
7121114,C4 COMPLEMENT,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-12-40,C4Complement component
7121115,C4-D (POLYCLONAL),840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-12-40,C4Complement component
7121116,C5 COMPLEMENT COMPONENT,325.5,341,Gross,yes,31.0,Portal Laboratory,73100-12-50,"Complement; functional activity, each component"
7121117,C6 COMPLIMENT COMPONENT,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-12-50,"Complement; functional activity, each component"
7121118,CA 12-5,509.25,533.5,Gross,yes,31.0,Portal Laboratory,73100-14-00,Cancer antigen 125 ca 125
7121119,CA 15-3,509.25,533.5,Gross,yes,31.0,Portal Laboratory,73100-13-80,Cancer antigen 153 ca 153
7121120,CA 19-9,572.25,599.5,Gross,yes,31.0,Portal Laboratory,73100-13-90,Cancer antigen 199 ca 199
7121121,CA 50,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-14-00,Cancer antigen 125 ca 125
7121122,CA 72-4,509.25,533.5,Gross,yes,31.0,Portal Laboratory,73100-13-80,Cancer antigen 153 ca 153
7121123,CADMIUM,567,594,Gross,yes,31.0,Portal Laboratory,73050-05-20,Measurement of (Quantitative) cadmium
7121124,CAFEINE,556.5,583,Gross,yes,31.0,Portal Laboratory,73300-00-10,Drug Quantitative screening (Caffeine)
7121125,CALCITONIN,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73000-01-50,"Calcitonin stimulation Profile, includes calcitonin x 3"
7121126,CALCIUM  SERUM,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-05-50,Measurement of Calcium Profile;total
7121127,CALPONIN,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-30-70,Measurement of Protein total
7121128,CALPRORECTIN,735,770.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-27-10,"Measurement of Calprotectin, stool"
7121129,C-ANCA ,315,330,Gross,yes,31.0,Portal Laboratory,73100-10-50,Perinuclear anti-neutrophil cytoplasmic antibodies
7121130,CANNABINOIDS,262.5,275,Gross,yes,31.0,Portal Laboratory,73300-07-00,Drug Quantitative/Qualitative or both screening (Cannabinoids natural)
7121131,CAPILLARY BLOOD GASES,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-14-50,Arterial blood gas
7121132,CARBAMAZEPINE (TEGRETOL),210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73300-00-20,Drug Profile screening (Carbamazepin)
7121133,CARCINEMBRYONIC ANTIGEN (CEA),446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-06-70,Measurement of Carcinoembryonic antigen Profile
7121134,CARDIAC ISOENZYMES ELECTROPHORESIS  LDH OR CPK  EA,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-14-90,"Immunoelectrophoresis; other fluids (eg, urine, cerebrospinal fluid) with concentration"
7121135,CARDIOLIPEN ANTIBODIES,656.25,687.5,Gross,yes,31.0,Portal Laboratory,73100-11-70,Anti cardiolipin abs (IGG+IGM)
7121136,CARNITINE,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-06-80,Measurement of Carnitine; total; serum
7121137,CARNITINE/ACYLCARNITINE,918.75,962.5000000000001,Gross,yes,31.0,Portal Laboratory,73050-00-30,Each specimen of acylcarnitines Qualitative
7121138,CAROTENE,488.25,511.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-06-90,Measurement of (Quantitative) carotene
7121139,CATECHOLAMINES(BLOOD),1155,1210,Gross,yes,31.0,Portal Laboratory,73050-07-10,Measurement of Catecholamines; blood plasma
7121140,CATECHOLAMINES(URINE),887.25,929.5000000000001,Gross,yes,31.0,Portal Laboratory,73050-07-00,Measurement of Catecholamines; urinalysis
7121141,CATECHOLANINES  24 HOURS URINE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-07-00,Measurement of Catecholamines; urinalysis
7121142,CCP,493.5,517,Gross,yes,31.0,Portal Laboratory,73100-12-80,"Cyclic citrullinated peptide antibodies ,serum (ccp anitbodies)"
7121143,CD-13,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121144,CD-14,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121145,CD-19,945,990.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-16-80,"T- lymphocyte cell total count, Quantitative ,not otherwise specified, each antigen"
7121146,CD21,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121147,CD35,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121148,CD38,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121149,CD4  CD8,519.75,544.5,Gross,yes,31.0,Portal Laboratory,73100-16-90,"Absolute CD4 and CD8 count, T cells; including ratio"
7121150,CD44,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121151,CD-45 RO,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-17-00,"T- lymphocyte cell total count, (flow cytometry)"
7121152,CD57,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-16-80,"T- lymphocyte cell total count, Quantitative ,not otherwise specified, each antigen"
7121153,CD61,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-11-60,Anti beta 2 glycoProtein abs (IgG)
7121154,CEA  RTU FLEX MONO (II-7),472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-06-70,Measurement of Carcinoembryonic antigen Profile
7121155,CEA  RTU FLEX POLY,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-06-70,Measurement of Carcinoembryonic antigen Profile
7121156,CENTROMERE ABS,315,330,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121157,CEREBROSPINAL FLUID (PHYSICAL&CHEMICAL ONLY),210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-25-00,"Measurement of (Quantitative) myelin basic Protein, cerebrospinal fluid"
7121158,CERULOPLASMIN,157.5,165,Gross,yes,31.0,Portal Laboratory,73050-07-40,Measurement of Ceruloplasmin Profile
7121159,CHLAMYDIA,178.5,187.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-20-30,Chlamydia antibody test
7121160,CHLAMYDIA ANTIBODIES,630,660,Gross,yes,31.0,Portal Laboratory,73100-20-20,Detection of antibody; Chlamydia
7121161,CHLAMYDIA ANTIGEN DETECTION TEST,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-45-90,Infectious agent antigen detection-chlamydia- Ag
7121162,CHLAMYDIA PNEUMONIA IGA & IGG ABS,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-45-90,Infectious agent antigen detection-chlamydia- Ag
7121163,CHLAMYDIA PNEUMONIA PCR,1134,1188,Gross,yes,31.0,Portal Laboratory,73050-51-40,Infectious agent detection of Chlamydia pneumoniae by nucleic Acid using direct probe technique
7121164,CHLAMYDIA PSITTACI (IGA & IGG ABS),430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-20-30,Chlamydia antibody test
7121165,CHLAMYDIA TRACHOMATIS DNA (PCR-NAT),619.5,649,Gross,yes,31.0,Portal Laboratory,73050-47-80,Infectious agent antigen detection  of Chlamydia trachomatis multiple-step method((immunoAssay technique)
7121166,CHLAMYDIA  DIRECT IMMUNOFLUORESCENT,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-60-30,Detection of infectious agent by immunoAssay with direct optical observation; chlamydia trachomatis
7121167,CHLORIDE  SERUM OR URINE,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-07-70,Measurement of Chloride; blood
7121168,CHLORIDE  STOOL,136.5,143,Gross,yes,31.0,Portal Laboratory,73050-07-90,Measurement of (Quantitative) fluid chlorides
7121169,CHOLINESTERASE (S  B),126,132,Gross,yes,31.0,Portal Laboratory,73050-08-20,Measurement of C1 esterase inhibitor protien -{Q} Profile
7121170,CHROMOSAL STUDY (AMINOITIC FLUID BLOOD),2782.5,2915.0000000000005,Gross,yes,31.0,Portal Laboratory,73200-05-10,"Chromosome analysis of amniotic fluid or placenta for genetic defects count 15 cells, 1 karyotype, with banding"
7121171,CHROMOSOMAL ANALYSIS,2625,2750,Gross,yes,31.0,Portal Laboratory,73200-05-00,Chromosome analysis ;for genetic defects 20-25 cells
7121172,CHROMOSOME PHILADELPHIA,5250,5500,Gross,yes,31.0,Portal Laboratory,73200-05-00,Chromosome analysis ;for genetic defects 20-25 cells
7121173,CINTEC P16,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
