CCHI No.  1014,مستشفي السعودي الألماني - جدة,Effective: 01-Jun-2021
FMDNTS0161,CHIN CORRECTION (MILD),service
FMDNTS0162,CHIN CORRECTION (MODERATE),service
FMDNTS0163,CHIN CORRECTION (SEVERE),service
FMDNTS0164,CHIN AUGMENTATION (SMALL),service
FMDNTS0165,CHIN AUGMENTATION (MEDIUM),service
FMDNTS0166,CHIN AUGMENTATION (LARGE),service
FMDNTS0167,OSTEOTOMY BODY MANDIBLE (I/O),service
FMDNTS0168,OSTEOTOMY BODY MANDIBLE (E/O),service
FMDNTS0169,OSTEOTOMY SAGITTAL INTRA-ORAL,service
FMDNTS0170,OSTEOTOMY SEGMENTAL MANDIBLE,service
FMDNTS0171,OSTEOTOMY IN THE CONDYLAR NECK,service
FMDNTS0172,OSTEOTOMY VERTICAL RAMUS,service
FMERDA0060,COLD COMPRESS,service
FMDNTS0174,CRONOIDECTOMY,service
FMDNTS0175,OSTEOTOMY MAXILLA (LOCALIZED),service
FMDNTS0176,OSTEOTOMY MAXILLA SEGMENTAL,service
FMDNTS0177,OSTEOTOMY MAXILLA TOTAL,service
FMDNTS0178,GRAFTING SOFT TISSUE (SMALL),service
FMDNTS0179,GRAFTING SOFT TISSUE (MEDIUM),service
FMDNTS0180,GRAFTING SOFT TISSUE (LARGE),service
FMDNTS0181,GRAFTING HARD TISSUE (SMALL),service
FMDNTS0182,GRAFTING HARD TISSUE (MEDIUM),service
FMDNTS0183,GRAFTING HARD TISSUE (LARGE),service
FMDNTS0184,INSERTION OF IMPLANT,service
FMDNTS0185,T. IMPLANT ANT. (L),service
FMDNTS0186,T. IMPLANT ANT. (G),service
MTNUR-0009,COLD COMPRESS,service
FMDNTS0188,IMMEDIATE T IMPLANT ANT.(G),service
FMDNTS0189,T. IMPLANT POST (L),service
FMDNTS0190,T IMPLANT PIRT (G),service
FMPTD-2096,COMBINE THERAPY [ULTRA SOUND +,service
FMDNTS0192,IMMEDIATE T IMPLANT ANT. (G),service
FMDNTS0193,REMOVAL OF T IMPLANT,service
FMDNTS0194,INSERTION OF I.M.Z. IMPLANT   FIRST STAGE,service
FMDNTS0195,INSERTION OF I.M.Z. IMPLANT   2ND STAGE,service
FMDNTS0196,I.M.Z. IMPLANT TIT.L 1ST STAGE,service
FMDNTS0197,I.M.Z. IMPLANT TIT.L 2ND STAGE,service
FMDNTS0198,I.M.Z. IMPLANT H.A.L 1ST STAGE,service
FMDNTS0199,I.M.Z. IMPLANT H.A.L 2ND STAGE,service
FMDNTS0200,I.M.Z. IMPLANT TIT.G 1ST STAGE,service
FMDNTS0201,I.M.Z. IMPLANT TIT.G 2ND STAGE,service
FMDNTS0202,I.M.Z. IMPLANT H.A.G 1ST STAGE,service
FMDNTS0203,I.M.Z. IMPLANT H.A.G 2ND STAGE,service
FMDNTS0204,REMOVAL OF I.M.Z. IMPLANT,service
FMDNTS0205,INSERTION OF T.P.S. IMPLANT,service
FMDNTS0206,T.P.S. IMPLANT 2,service
FMDNTS0207,T.P.S. IMPLANT 3,service
FMDNTS0208,T.P.S. IMPLANT 4,service
FMDNTS0209,SUBPERIOSTEAL IMPLANT COMPLETE1ST STAGE,service
FMDNTS0210,SUBPERIOSTEAL IMPLANT COMPLETE2ND STAGE,service
FMDNTS0211,SUBPERIOSTEAL IMPLANT PARTIAL 1ST STAGEB 1/2 JAW,service
FMDNTS0212,SUBPERIOSTEAL IMPLANT PARTIAL 2ND STAGE 1/2 JAW,service
FMDNTS0213,SUBPERIOSTEAL IMPLANT PARTIAL 1ST STAGE,service
FMDNTS0214,SUBPERIOSTEAL IMPLANT PARTIAL 2ND STAGE,service
FMDNTS0215,REMOVAL OF SUBPERIOSTEAL -    IMPLANT - COMPLETE,service
FMDNTS0216,REMOVAL OF SUBPERIOSTEAL  -   IMPLANT - PARTIAL,service
FMDNTS0217,INSERTION OF LINKOW ANT.,service
FMDNTS0218,INSERTION OF LINKOW - POST,service
FMDNTS0219,REMOVAL OF LINKOW - ANT.\,service
FMDNTS0220,REMOVAL OF LINKOW - POST,service
FMDNTS0221,LINKOW WITH 1 PFOSTEN,service
FMDNTS0222,LINKOW 10 WITH 1 PFOSTEN,service
FMDNTS0223,LINKOW WITH 2 PFOSTEN,service
FMDNTS0224,LINKOW 10 WITH 2 PFOSTEN,service
FMDNTS0093,REMOVAL OF FOREIGN BODY SUPER.,service
FMDNTS0094,REMOVAL OF FOREIGN BODY DEEP,service
FMDNTS0095,REMOVAL OF PLATE OR WIRES ANT.,service
FMDNTS0096,REMOVAL OF PLATE / WIRE MIDDLE,service
FMDNTS0097,REMOVAL OF PLATE OR WIRE POST.,service
FMDNTS0098,REPAIR OF LACERATION UPPER OR LOWER LIP (MILD),service
FMDNTS0099,REPAIR OF LACERATION UPPER OR LOWER LIP (MODERATE),service
FMDNTS0100,REPAIR OF LACERATION UPPER OR LOWER LIP (SEVERE),service
FMDNTS0101,REPAIR OF LACERATION OF ORAL  MUCOSA (MILD),service
FMDNTS0102,REPAIR OF LACERATION  ORAL    MUCOSA (MODERATE),service
FMDNTS0103,REPAIR OF LACERATION ORAL     MUCOSA (SEVERE),service
FMDNTS0104,DENTO ALVEOLAR FRACTURE,service
FMDNTS0105,SIMPLE FRACTURE,service
FMDNTS0106,COMPOUND FRACTURE,service
FMDNTS0107,COMPLEX FRACTURE,service
FMDNTS0108,COMMINUTED FRACTURE,service
FMDNTS0109,MULTIPLE FRACTURE,service
FMDNTS0110,ARCH BAR MAX. OR MAND.,service
FMDNTS0111,INTER MAX. ELASTIC TRACTION,service
FMDNTS0112,INTER MAX. FIXATION,service
FMDNTS0113,INTER DENTAL WIRING HALF JAW,service
FMDNTS0114,INTER DENTAL WIRING ONE JAW,service
FMDNTS0115,CLOSED REDUCTION,service
FMDNTS0116,OPEN REDUCTION INTRA-ORAL ANT.,service
FMDNTS0117,OPEN REDUCTION INTRA-ORAL POST,service
FMDNTS0118,TRANS OSSIUS WIRING,service
FMDNTS0119,OPEN REDUCTION EXTRA-ORAL MILD,service
FMDNTS0120,OPEN REDUCTION EXTRA-ORAL MOD.,service
FMDNTS0121,OPEN REDUC. EXTRA-ORAL SEVERE,service
FMDNTS0081,SURGICAL EXCISION INTRA-ORAL  SWELLING SMALL,service
FMDNTS0082,SURGICAL EXCISION OF INTRA-   ORAL SWELLING - MEDIUM,service
FMDNTS0083,SURGICAL EXCISION OF INTRA-   ORAL SWELLING LARGE,service
FMDNTS0084,SURGICAL EXCISION OF BENIGN   TUMOUR IN SOFT PALATE,service
FMDNTS0085,SURGICAL EXCISION OF BENIGN   TUMOUR IN HARD PALATE,service
FMDNTS0086,SURGICAL EXCISION OF BENIGN   TUMOUR LIP,service
FMDNTS0087,SURGICAL EXCISION OF BENIGN   TUMOUR IN JAW,service
FMDNTS0088,SURGICAL EXCISION OF MALIGNANTTUMOUR SMALL,service
FMDNTS0089,SURGICAL EXCISION OF MALIGNANTTUMOUR MEDIUM,service
FMDNTS0090,SURGICAL EXCISION OF MALIGNANTTUMOUR LARGE,service
FMDNTS0233,TRANSPLANTATION W/ SMAL FLAB,service
FMDNTS0234,TRNASPLANTATION W/ LARGE FLAB,service
FMDNTS0235,REIMPLANTATION W/ WIRE FIXATN,service
FMDNTS0236,ADD'L FEE FOR COMP.PROC./ 3HRS,service
FMDNTS0027,ENUCLEATION OF SMALL CYST,service
FMDNTS0028,ENUCLEATION OF MODERATE CYST,service
FMDNTS0029,ENUCLEATION OF LARGE CYST,service
FMDNTS0030,MARSUPIALIZATION MODERATE CYST,service
FMDNTS0031,MARSUPIALIZATION LARGE CYST,service
FMDNT00038,REMOVAL OF FIX APPLIANCE,service
FMDNT-0001,REFERAL FROM OTHER DOCTOR -OP,service
FMDNTS0008,NORMAL EXT.UPPER 3RD MOLLAR,service
FMDNTS0007,SIMPLE EXTRACTION OF REMAINING ROOT,service
FMDNTS0032,APECICTOMY ANTERIOR,service
FMDNTS0009,NORMAL EXT. LOWER 3RD MOLAR,service
FMDNTS0012,S. TISSUE IMPAC.UPP. 3RD MOLAR,service
FMDNTS0010,SUR. EXT. OF NORMAL TOOTH,service
FMDNTS0011,SUR. REM. OF REMAINING ROOT-,service
FMDNTM0018,WHITENING ONE SESSION,service
FMDNTM0019,WHITENING TWO SESSION,service
FMDNTM0020,WHITENING THREE SESSION,service
FMDNTP0075,SPACE MAINTEINER PEDO (SIMPLE),service
FMDNTP0076,SPACE MAINTEINER PEDO (COMPOUND),service
FMDNTP0077,HABIT BREAKING APPLIANCE (ACRYLIC),service
FMDNTP0078,POSTERIOR CROSSBITE APPLIANCE,service
FMDNTP0079,ANTERIOR CROSSBITE APPLIANCE,service
FMDNTP0080,TOPICAL APPLICATION OF FLUORIDE,service
FMDNTP0081,INCERAM CROWN,service
FMDNTP0082,HIGH CERAM CROWN,service
FMDNTP0083,ZIRCONIUM CROWN ANTERIOR,service
FMDNTP0084,ZIRCONIUM CROWN POSTERIOR,service
FMDNTP0085,METAL POST,service
FMDNTP0086,ADDITIONAL METAL POST,service
FMDNTP0087,FIBER OPTIC POST,service
FMDNTP0088,ADDITIONAL FIBEROPTIC POST,service
FMDNTP0089,STAINLESS STEEL CROWN,service
FMDNTP0090,SEALANT,service
FMDNTP0091,READY MADE POST (FOR CHILDREN),service
FMDNTF0018,PIT AND FISSURE SEALING,service
FMDNTF0019,DESENSITIZATION OF TEETH,service
FMDNTM0021,BLEACHING (ONE TOOTH),service
FMDNTM0022,BLEACHING (TWO TEETH),service
FMDNTS0351,MANIPULATION OF DISLOCATED TMJ (MILD),service
FMDNTS0366,INSERTION OF ONE STAGE DENTAL IMPLANT(MODERATE),service
FMDNTS0352,MANIPULATION OF DISLOCATED TMJ (MODERATE),service
FMDNTS0365,INSERTION ON STAGE DENTAL IMPLANT(SIMPLE),service
FMDNL-0001,"FULL DENTURE(UPPER & LOWER),",service
FMPTD-2097,COMBINE THERAPY [ULTRA SOUND +,service
FMDNL-0003,FULL DENTURE(UPPER & LOWER),service
FMDNTS0173,CONDYLECTOMY,service
FMDNL-0005,PARTIAL DENTURE FIRST TOOTH,service
FMDNL-0006,"ADDITIONAL TOOTH,EACH(ACRYLIC)",service
FMDNL-0007,"PARTIAL DENTURE, FIRST TOOTH",service
FMDNL-0008,"ADDITIONAL TOOTH,EACH PORCELA.",service
FMDNL-0009,REPAIR FULL OR PARTIAL DENTURE,service
FMDNL-0010,"FULL DENTURE, UPPER OR LOWER",service
FMENTM0001,CONDYLECTOMY,service
EXENT-0023,CONTROL OF EPISTAXSIS BY ANT. PACKING (G.A.),service
FMENTP2012,CONTROL OF HAEMORRHAGE AFTER-,service
FMDNL-0015,FULL DENTURE CHROME COBALT,service
FMDNL-0016,JACKET CROWN ACRYLIC,service
FMDNL-0017,"JACKET CROWN, ISOSIT",service
FMDNL-0018,"JACKET CROWN, PORCELAIN",service
FMDNL-0019,"INLAY/ONLAY, CAST CORE + POST",service
FMDNL-0020,CER.FUSED NON-PRES METAL CAST,service
FMDNL-0021,ISOSIT CAST NON-PRE METAL,service
FMDNL-0023,SPLINT - ACRYLIC,service
FMDNL-0025,ART. APPL. REM. ACT/RET,service
FMDNL-0026,ANDERSON ACTIVATOR,service
FMDNL-0027,STUDY MODELS,service
FMDNL-0029,VENEER CROWN CAST W/ ACR. FAC.,service
FMDNL-0030,VEN. CROWN CAST W/ ISOSIT FAC.,service
FMDNL-0031,ACR. PART. DENT. 2 TEETHS,service
FMDNL-0032,RELINE (UPPER OR LOWER),service
FMDNL-0033,COM. DENT. CHROME COB. W/TEETH,service
FMDNL-0034,CHROME COBALT PIST ONE TEETH,service
FMDNL-0035,CHROME COBALT PIST TWO TEETH,service
FMDNL-0036,CHROME COBALT PIST THREE TEETH,service
FMDNL-0037,CHROME COBALT PIST FOUR TEETH,service
FMDNL-0038,CHROME COBALT PIST FIVE TEETH,service
FMDNL-0039,PORCELAIN WITH PRECIOUS METAL,service
FMDNL-0040,PORCELAIN W/NON-PRECIOUS METAL,service
FMDNL-0041,VENEER CROWN CAST PORCELAIN F.,service
FMDNL-0042,FULL DENTURE (UPPER & LOWER),service
FMDNL-0043,ACRYLIC PARTIAL DENTURE 1 UNIT,service
FMDNL-0044,ADDITIONAL TOOTH,service
FMDNL-0045,ACR.PART.DENT.8 TEETHS&1/2 DEN,service
FMDNL-0047,RELINE (UPPER & LOWER),service
FMENTM0033,COUNSELING SESSION,service
FMPSYB0047 ,COUNSELING SESSION,service
FMDNL-0050,RETAINER,service
FMCAR-1000,DAY CARE SUPERVISION,service
FMDNT-1000,DAY CARE SUPERVISION,service
FMDNL-0053,RELINE (UPPER-LOWER),service
FMDNTS0001,DAY CARE SUPERVISION,service
FMDER-1000,DAY CARE SUPERVISION,service
FMDNL-0056,RETINER,service
FMENT-1000,DAY CARE SUPERVISION,service
FMDNL-0058,EAR MOLD,service
FMERD-1000,DAY CARE SUPERVISION,service
FMINT-1000,DAY CARE SUPERVISION,service
FMDER-0003,SVD INJECTION,service
FMDER-0157,SEBACEOUS CYST EXCISSION MED.,service
FMNUM-1000,DAY CARE SUPERVISION,service
FMNEU-1000,DAY CARE SUPERVISION,service
FMDER-4003,AHA PEELING APPLICATION SMALL  AREA,service
FMDER-0047,ULTRAVIOLET EXPOSE,service
FMDER-0048,ZYDERM IMPLANT TEST,service
FMDER-0049,COLLAGEN APPLICATION - ACNE,service
FMDER-0050,COLLAGEN APPLICATION - REGENE- RATION,service
FMDER-0051,HERBAL MASK APPLICATION,service
FMDER-0052,TOPICAL APPLICATION - ALOPECIA LOTION,service
FMDER-0053,TOPICAL APPLICATION - VITILIGO LOTION,service
FMDER-0054,ALOPECIA LOTION 2% - 100CC,service
FMDER-0055,ALOPECIA LOTION 3% - 100CC,service
FMDER-0056,ALOPECIA LOTION 5% - 100CC,service
FMDER-0057,OIL OF BERGAMOT 100CC,service
FMDER-0058,INFRARED EXPOSURE,service
FMDER-0059,ZYDERM IMPLANT INJECTION,service
FMDER-0061,SAMPLE FR. TESTISE BY NEEDLE,service
FMDER-0062,PATHERGY,service
FMDER-0063,DIATHERMY CURRETAGE,service
FMDER-0064,URETHERAL IRRIGATION,service
FMDER-0065,HAIR SHAFT,service
FMDER-0066,VARICOCELE,service
FMDER-0067,TESTICULAR EXPLORATION,service
FMDER-0068,SENSITIVITY TEST,service
FMDER-0069,SEBACEOUS CYST EXCISSION SMALL,service
FMDER-0070,SEBACEOUS CYST EXCISSION LARGE,service
FMDER-0071,DEPILATION-SMALL AREA,service
FMDER-0072,DEPILATION -MEDIUM AREA,service
FMDER-0073,DEPILATION-LARGE AREA.,service
FMDER-0075,PUVA THERAPY PKG 10 SESSIONS,service
FMDER-0076,CAPILSTIMULATOR  PER SESSION,service
FMDER-0077,CAPILSTIMULATOR PACKAGE DEAL   (10 SESSIONS ).,service
FMDER-0079,PUVA SECOND COURSE,service
FMDER-0080,PUVA SUCCEEDING COURSE,service
FMDER-0081,INCISSI.& DRAIN.ABCS.SUPERFCL.,service
FMDER-0082,INCISSI.& DRAIN ABCSS.-DEEP,service
FMDER-0083,OCCLUSIVE DRESSING SMALL,service
FMDER-0084,OCCLUSIVE DRESSING MEDIUM,service
FMDER-0085,OCCLUSIVE DRESSING LARGE,service
FMDER-0086,EXTRACTION OF MOLLUSCA BODIES  AREA,service
FMDER-0087,DERMOJECT INJECTION,service
FMDER-0089,INTRALESIONAL INJECTION,service
FMDER-0090,SUBCUTANEOUS INJECTION,service
FMOBG-1000,DAY CARE SUPERVISION,service
FMDER-0095,ERECTILE DISORDERS DETECTION   USING DUPPLER APPARATUS,service
FMDER-0096,HYPERPIGMENTATION COURSE,service
FMONC-1000,DAY CARE SUPERVISION,service
FMOPT-1000,DAY CARE SUPERVISION,service
FMDER-0099,DOPPLER PROCEDURE,service
FMDER-0100,LASER THERAPY APPLICATION FOR  DERMA. & ACUPUNCTURE 10 SESS.,service
FMDER-0101,LASER THERAPY APPLICATION FOR  DERMA.& ACUPUNCTURE  7 SESSION,service
FMDER-0102,LASER THERAPY APPLICATION FOR  DERMA. & ACUPUNCTURE 5 SESSION,service
FMDER-0103,ACU BLITZ ACUPUNCTURE THERAPY  10 SESSIONS,service
FMDER-0104,ACU BLITZ ACUPUNCTURE THERAPY  7 SESSIONS,service
FMDER-0105,ACU BLITZ ACUPUNCTURE THERAPY  5 SESSIONS,service
FMDER-0106,EUROPEAN ACNE - FACIAL,service
FMDER-0107,THERMAL HOT - MASK TREATMENT   FOR MATURE SKIN,service
FMDER-0108,HOT OIL SCALP TREATMENT 10 SES,service
FMDER-0109,HOT OIL SCALP TREATMENT 5 SESS,service
FMDER-0110,HOT OIL SCALP TREATMENT PER    SESSION,service
FMDER-0111,DESINCRUSTATION LARGE AREA,service
FMDER-0112,DESINCRUSTATION MEDIUM AREA,service
FMDER-0113,DESINCRUSTATION SMALL AREA,service
FMDER-0114,STRETCH MARK TREATMENT 10 SESS,service
FMDER-0115,STRETCH MARK TREATMENT 5 SESS.,service
FMDER-0116,STRETCH MARK TREATMENT PER     TREATMENT,service
FMDER-0117,CELLULITE TREATMENT 10 SESSION,service
FMDER-0118,CELLULITE TREATMENT 5 SESSIONS,service
FMDER-0119,CELLULITE TREATMENT PER TREAT.,service
FMDER-0120,NON - SURGICAL FACE LIFT,service
FMDER-0121,WEIGHT REDUC. BY DEEP HEAT     METHOD AND BODY WRAP 10 SESS.,service
FMDER-0123,WEIGHT REDUC. BY DEEP HEAT     METHOD AND BODY WRAP PER TREAT,service
FMDER-0124,UVL 15 SESSIONS,service
FMDER-0125,NARROW BAND REGIONAL 1ST COURSE 15 SESSIONS,service
FMDER-0126,NARROW BAND REGIONAL 2ND COURSE 15 SESSIONS,service
FMDER-0127,UVA REGIONAL SUCEEDING COURSE,service
FMDER-0128,LASER THERAPY CELLOTHERM SOFT  LASER UNILASER 10 SESSIONS,service
FMDER-0129,LASER THERAPY CELLOTHERM SOFT  LASER UNILASER 7 SESSIONS,service
FMDER-0130,MICROPUNCTURE TATTOOING LARGE  P.D.,service
FMDER-0131,MICROPUNCTURE TATTOING MEDIUM  P.D.,service
FMDER-0132,MICROPUNCTURE TATTOING SMALL   P.D.,service
FMDER-0133,LASER TREATMENT  LARGE AREA,service
FMDER-0134,LASER TREATMENT  MEDIUM AREA,service
FMDER-0135,LASER TREATMENT  SMALL AREA,service
FMORT-1000,DAY CARE SUPERVISION,service
FMPDT-1000,DAY CARE SUPERVISION,service
FMDER-0138,LIQUID NIRTOGEN APPL. SMALL,service
FMDER-0139,LIQUID NITROGEN APPL. MEDIUM,service
FMDER-0140,LIQUID NITROGEN APPL. LARGE,service
FMDER-0141,PODOPHYLLIN APPL. SMALL AREA,service
FMDER-0142,PODOPHYLLIN APPL. MEDIUM AREA,service
FMDER-0143,PODOPHYLLIN APPL. LARGE AREA,service
FMDER-0144,INTRALESIONAL(IL)INJ.SMALL AR.,service
FMDER-0145,INTRALESIONLA(IL)INJ.MED.AREA,service
FMDER-0146,INTRALESIONAL(IL)INJ.LRGE.AREA,service
FMDER-0147,DERMOJET INJECTION-SMALL AREA,service
FMDER-0148,DERMOJET INJECTION-MEDIUM AREA,service
FMDER-0149,DERMOJET INJECTION-LARGE AREA,service
FMDER-0150,I.M. INJECTION WITH MEDICINE,service
FMDER-0151,ANTI-ALLERGIC INJ.COCKTAIL I,service
FMDER-0152,ANTI-ALLERGIC INJ.COCKTAIL II,service
FMDER-0153,INCISS.&DRAIN.ABSCESS-SMALL,service
FMDER-0154,INCISS.&DRAIN. ABSCESS-MEDIUM,service
FMDER-0155,INCISS.&DRAIN. ABSCESS-LARGE,service
FMDER-0163,MOLLUSCA BODIES EXTRAC. SMALL,service
FMDER-0164,MOLLUSCA BODIES EXTRAC. MEDIUM,service
FMDER-0165,MOLLUSCA BODIES EXTRAC.LARGE,service
FMDER-0166,MILIA EXTRACTION - SMALL,service
FMDER-0167,MILIA EXTRACTION - MEDIUM,service
FMDER-0168,MILIA EXTRACTION - LARGE,service
FMDER-0169,K.O.H. EXAMINATION,service
FMDER-0170,REGIONAL PUVA MOBILE/SESSION,service
FMDER-0171,MICROPIGMENTATION TEST,service
FMDER-0173,BLEACHING - FACE,service
FMDER-0174,BLEACHING - ARMS,service
FMDER-0175,BLEACHING - LEGS,service
FMDER-0176,BLEACHING - TRUNK,service
FMDER-0177,BLEACHING - WHOLE BODY,service
FMDER-0178,CELLULAR BODY WRAP,service
FMDER-0179,LASER TREATMENT CELLATH./SESS.,service
FMPTD-1000,DAY CARE SUPERVISION,service
FMPSD-1000,DAY CARE SUPERVISION,service
FMSUR-1000,DAY CARE SUPERVISION,service
FMURO-1000,DAY CARE SUPERVISION,service
FMENTE3011,DEBRIDEMENT - EAR INFECTION,service
FMERDA0039,DEFIBRILLATOR,service
FMICU-0002,DEFIBRILLATOR,service
FMDER-0189,MICRO-DERMABRADER PROCEDURE    SMALL,service
FMDER-0190,MICRO-DERMABRADER PROC. MEDIUM,service
FMDER-0191,MICRO-DERMABRADER PROC. LARGE,service
FMDER-0192,MICRO-DERMABRADER PROC. E-LARG,service
FMDER-0193,INTRACORPORAL INJECTION I.C.I,service
FMDER-0194,LASER TREATMENT EXTRA LARGE,service
FMDER-0195,VASCULAR LASER TREATMENT TEST  DOSE,service
FMDER-0196,VASCULAR LASER TREATMENT SMALL AREA,service
FMDER-0197,VASCULAR LASER TREATMENT       MEDIUM AREA,service
FMDER-0198,VASCULAR LASER TREATMENT       LARGE AREA,service
FMDER-0199,BLISTER SCTN DIV. MELANOCYTE   CULTURING,service
FMDER-0200,LASER ABLATION SMALL AREA,service
FMDER-0201,LASER ABLATION MEDIUM AREA,service
FMDER-0202,LASER ABLATION LARGE AREA,service
FMDER-0203,LASER ABLATION EXTRA LARGE,service
FMDER-0204,BLISTER TRANSFORMATION SMALL   AREA,service
FMDER-0205,BLISTER TRANSFORMATION MEDIUM  AREA,service
FMDER-0206,BLISTER TRANSFORMATION LARGE   AREA,service
FMDER-0207,BLISTER TRANSFORMATION EXTRA   LARGE AREA,service
FMDER-0208,AGE JEUNESSE EYE WRINKLE PER   TREATMENT,service
FMDER-0209,AGE JEUNESSE WRINGKLE PD(6TREA TMENT),service
FMDER-0210,AGE JEUNESSE FACE WRINGKLE PER TREATMENT,service
FMDER-0211,AGE JEUNESSE FACE WRINGKLE PD  (6 TREATMENT),service
MTNUR-0016,DEFIBRILLATOR,service
FMOBG-0021,DILATATION & CURETTAGE,service
OBG-0005,Dilatation & Curettage,PKG
FMDER-0215,MELANOCYTE CULTURE EXTRA-LARGE,service
FMDER-0217,LASER TREATMENT SMALL AREA,service
FMDER-0218,LASER TREATMENT MEDIUM AREA,service
FMDER-0219,LASER TREATMEN LARGE AREA,service
FMDER-0220,LASER TREATMENT EXT.LARGE AREA,service
FMDER-0221,LASER COOLING DEV. APPLICATION,service
FMDER-0222,HYDRADERMIE MACHINE SMALL AREA,service
FMDER-0223,HYDRADERMIE MACHINE FACIAL,service
FMDER-0224,HYDRADERMIE MACHINE(1X) FACIAL,service
FMDER-0225,HYDRADERMIE MACHINE(4X) FACIAL,service
FMDER-0228,MULTI-ZONES(1X)Body Treatment  Small Area,service
FMDER-0229,MULTI-ZONES(12X)Body Treatment Small Area (Package Deal),service
FMDER-0230,MULTI-ZONES(1X)Body Treatment  Medium Area,service
FMDER-0231,MULTI-ZONES(12X)Body Treatment Medium Area (Package Deal),service
FMDER-0232,MULTI-ZONES(1X)Body Treatment  Large Area,service
FMDER-0233,MULTI-ZONES(12X)Body Treatment Large Area (Package Deal),service
FMCAR-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMDER-0006,"SKIN ALLERGY TEST ""PATCH""",service
FMDER-0008,CHEMICAL CAUTERY,service
FMDER-0009,AUTO VACCINATION,service
FMDNT-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMDER-0011,SKIN BIOPSY FOR EM,service
FMDER-0012,WOOD'S LIGHT EXAM,service
FMDER-0013,ELECTRO-CAUTERY,service
FMDER-0014,INCISION & CRRETAGE,service
FMDER-0015,BASED CELL CARCINOMA,service
FMDER-0016,SOLAR KERATOSIS,service
FMDER-0017,DISSEM SUPER KERATOSIS,service
FMDER-0018,BOWN'S DESEASE,service
FMDER-0019,CALLOSITIES,service
FMDER-0020,PLANTER WART,service
FMDER-0021,TZANK SHEAR TEST,service
FMDER-0022,PHOTOPATCH TEST,service
FMDER-0023,SKIN PATCH TEST,service
FMDER-0024,ICE CUBE TEST,service
FMDER-0025,PATHOLOGY TEST,service
FMDER-0026,URETHERAL SCRAPPING,service
FMDER-0027,GONOZYME SWAB,service
FMDER-0028,BUCCAL SMEAR,service
FMDER-0029,LESION SMEAR,service
FMDER-0030,VAPOSONE SESSION,service
FMDER-0031,DERMO TEST,service
FMDER-0032,PUVA THERAPY,service
FMDER-0033,NARROW BAND THERAPY,service
FMDER-0034,TRICHOGRAM,service
FMDER-0035,DERMABRASION UNIT,service
FMDER-0036,SKIN TAG EXCISION PER UNIT,service
FMDER-0037,LOC. SEROFAL VARICOCELECTOMY,service
FMDER-0038,MILIA EXTRACTION,service
FMDER-0039,PODOPHYLLIN APPLICATION,service
FMDER-0040,PHENOL APPLICATION 40%,service
FMDER-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMDER-0042,ELECTRO-CAUTERY PER/UNIT,service
FMDER-0043,KERATOLITIC APPLICATION - FACE,service
FMDER-0044,KERATOLITIC APPLICATION - ARM,service
FMDER-0045,KERATOLITIC APPLICATION - LEGS,service
FMDER-4004,ONE LASER PULSE,service
EXDER-0009,ERBIUM SMALL AREA,service
EXDER-0010,ERBIUM MEDIUM AREA,service
EXDER-0011,ERBIUM LARGE AREA,service
EXDER-0012,ERBIUM EXTRA LARGE AREA,service
EXDER-0013,VASCULAR LASER SMALL,service
FMINT-1001,DOCTOR'S DAYCARE SUPERVISION,service
MTDER-0001,ELECTROCAUTERY-SMALL AREA G.A.,service
MTDER-0002,ELECTROCAUTERY-MEDIUM AREA G.A,service
MTDER-0003,ELECTROCAUTERY-LARGE AREA G.A.,service
MTDER-0004,ELECTROCAUTERY-EXTRA LARGE    AREA,service
FMNEP-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMNUM-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMNEU-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMOBG-1001,DOCTOR'S DAYCARE SUPERVISION,service
MTDER-0009,ERBIUM - SMALL AREA,service
MTDER-0010,ERBIUM - MEDIUM AREA,service
MTDER-0011,ERBIUM - LARGE AREA,service
MTDER-0012,ERBIUM - EXTRA LARGE AREA,service
MTDER-0013,VASCULAR LASER - SMALL,service
FMONC-1001,DOCTOR'S DAYCARE SUPERVISION,service
FMOPT-1001,DOCTOR'S DAYCARE SUPERVISION,service
MTDER-0016,BLISTER SUCTION DEVICE,service
MTDER-0017,MELANOCYTE CULTURE - SMALL,service
MTDER-0018,MELANOCYTE CULTURE MEDIUM,service
FMORT-1001,DOCTOR'S DAYCARE SUPERVISION,service
MTDER-0020,SEBACEOUS CYST EXCISION SMALL,service
MTDER-0021,SEBACEOUS CYST EXCISION MEDIUM,service
MTDER-0022,SEBACEOUS CYST EXCISION LARGE,service
FMPDT-1001,DOCTOR'S DAYCARE SUPERVISION,service
MTDER-0028,HYDRADERMIE MACHINE(1x) facialSmall Area,service
MTDER-0029,HYDRADERMIE MACHINE(4x) facialSmall Area,service
MTDER-0030,HYDRADERMIE MACHINE(1x) facialMedium Area,service
MTDER-0031,HYDRADERMIE MACHINE(4x) facialMedium Area,service
MTDER-0032,HYDRADERMIE MACHINE(1x) facialLarge Area,service
MTDER-0033,HYDRADERMIE MACHINE(4x) facialLarge Area,service
MTDER-0034,MULTI-ZONES(1x) Body TreatmentSmall Area,service
